verb,conjugacio,mode,temps,persona,nombre,pronom,forma_conjugada
cantar,1a,indicatiu,present,1a,singular,jo,cante
cantar,1a,indicatiu,present,2a,singular,tu,cantes
cantar,1a,indicatiu,present,3a,singular,ell,canta
cantar,1a,indicatiu,present,3a,singular,ella,canta
cantar,1a,indicatiu,present,1a,plural,nosaltres,cantem
cantar,1a,indicatiu,present,2a,plural,vosaltres,canteu
cantar,1a,indicatiu,present,3a,plural,ells,canten
cantar,1a,indicatiu,present,3a,plural,elles,canten
cantar,1a,indicatiu,imperfet,1a,singular,jo,cantava
cantar,1a,indicatiu,imperfet,2a,singular,tu,cantaves
cantar,1a,indicatiu,imperfet,3a,singular,ell,cantava
cantar,1a,indicatiu,imperfet,3a,singular,ella,cantava
cantar,1a,indicatiu,imperfet,1a,plural,nosaltres,cantàvem
cantar,1a,indicatiu,imperfet,2a,plural,vosaltres,cantàveu
cantar,1a,indicatiu,imperfet,3a,plural,ells,cantaven
cantar,1a,indicatiu,imperfet,3a,plural,elles,cantaven
cantar,1a,indicatiu,passat simple,1a,singular,jo,cantí
cantar,1a,indicatiu,passat simple,2a,singular,tu,cantares
cantar,1a,indicatiu,passat simple,3a,singular,ell,cantà
cantar,1a,indicatiu,passat simple,3a,singular,ella,cantà
cantar,1a,indicatiu,passat simple,1a,plural,nosaltres,cantàrem
cantar,1a,indicatiu,passat simple,2a,plural,vosaltres,cantàreu
cantar,1a,indicatiu,passat simple,3a,plural,ells,cantaren
cantar,1a,indicatiu,passat simple,3a,plural,elles,cantaren
cantar,1a,indicatiu,futur,1a,singular,jo,cantaré
cantar,1a,indicatiu,futur,2a,singular,tu,cantaràs
cantar,1a,indicatiu,futur,3a,singular,ell,cantarà
cantar,1a,indicatiu,futur,3a,singular,ella,cantarà
cantar,1a,indicatiu,futur,1a,plural,nosaltres,cantarem
cantar,1a,indicatiu,futur,2a,plural,vosaltres,cantareu
cantar,1a,indicatiu,futur,3a,plural,ells,cantaran
cantar,1a,indicatiu,futur,3a,plural,elles,cantaran
cantar,1a,subjuntiu,present,1a,singular,jo,cante
cantar,1a,subjuntiu,present,2a,singular,tu,cantes
cantar,1a,subjuntiu,present,3a,singular,ell,cante
cantar,1a,subjuntiu,present,3a,singular,ella,cante
cantar,1a,subjuntiu,present,1a,plural,nosaltres,cantem
cantar,1a,subjuntiu,present,2a,plural,vosaltres,canteu
cantar,1a,subjuntiu,present,3a,plural,ells,canten
cantar,1a,subjuntiu,present,3a,plural,elles,canten
cantar,1a,subjuntiu,imperfet,1a,singular,jo,cantàs
cantar,1a,subjuntiu,imperfet,2a,singular,tu,cantasses
cantar,1a,subjuntiu,imperfet,3a,singular,ell,cantàs
cantar,1a,subjuntiu,imperfet,3a,singular,ella,cantàs
cantar,1a,subjuntiu,imperfet,1a,plural,nosaltres,cantàssem
cantar,1a,subjuntiu,imperfet,2a,plural,vosaltres,cantàsseu
cantar,1a,subjuntiu,imperfet,3a,plural,ells,cantassen
cantar,1a,subjuntiu,imperfet,3a,plural,elles,cantassen
cantar,1a,indicatiu,condicional simple,1a,singular,jo,cantaria
cantar,1a,indicatiu,condicional simple,2a,singular,tu,cantaries
cantar,1a,indicatiu,condicional simple,3a,singular,ell,cantaria
cantar,1a,indicatiu,condicional simple,3a,singular,ella,cantaria
cantar,1a,indicatiu,condicional simple,1a,plural,nosaltres,cantaríem
cantar,1a,indicatiu,condicional simple,2a,plural,vosaltres,cantaríeu
cantar,1a,indicatiu,condicional simple,3a,plural,ells,cantarien
cantar,1a,indicatiu,condicional simple,3a,plural,elles,cantarien
cantar,1a,imperatiu,imperatiu,2a,singular,tu,canta
cantar,1a,imperatiu,imperatiu,3a,singular,ell,cante
cantar,1a,imperatiu,imperatiu,3a,singular,ella,cante
cantar,1a,imperatiu,imperatiu,1a,plural,nosaltres,cantem
cantar,1a,imperatiu,imperatiu,2a,plural,vosaltres,canteu
cantar,1a,imperatiu,imperatiu,3a,plural,ells,canten
cantar,1a,imperatiu,imperatiu,3a,plural,elles,canten
cantar,1a,infinitiu,infinitiu,,,,cantar
cantar,1a,gerundi,gerundi,,,,cantant
cantar,1a,participi,participi,,singular,,cantat
cantar,1a,participi,participi,,plural,,cantada
cantar,1a,participi,participi,,singular,,cantats
cantar,1a,participi,participi,,plural,,cantades
cantar,1a,indicatiu,pretèrit perfet compost,1a,singular,jo,he cantat
cantar,1a,indicatiu,pretèrit perfet compost,1a,singular,jo,haig cantat
cantar,1a,indicatiu,pretèrit perfet compost,2a,singular,tu,has cantat
cantar,1a,indicatiu,pretèrit perfet compost,3a,singular,ell,ha cantat
cantar,1a,indicatiu,pretèrit perfet compost,3a,singular,ella,ha cantat
cantar,1a,indicatiu,pretèrit perfet compost,1a,plural,nosaltres,havem cantat
cantar,1a,indicatiu,pretèrit perfet compost,1a,plural,nosaltres,hem cantat
cantar,1a,indicatiu,pretèrit perfet compost,2a,plural,vosaltres,haveu cantat
cantar,1a,indicatiu,pretèrit perfet compost,2a,plural,vosaltres,heu cantat
cantar,1a,indicatiu,pretèrit perfet compost,3a,plural,ells,han cantat
cantar,1a,indicatiu,pretèrit perfet compost,3a,plural,elles,han cantat
cantar,1a,indicatiu,pretèrit plusquamperfet,1a,singular,jo,havia cantat
cantar,1a,indicatiu,pretèrit plusquamperfet,2a,singular,tu,havies cantat
cantar,1a,indicatiu,pretèrit plusquamperfet,3a,singular,ell,havia cantat
cantar,1a,indicatiu,pretèrit plusquamperfet,3a,singular,ella,havia cantat
cantar,1a,indicatiu,pretèrit plusquamperfet,1a,plural,nosaltres,havíem cantat
cantar,1a,indicatiu,pretèrit plusquamperfet,2a,plural,vosaltres,havíeu cantat
cantar,1a,indicatiu,pretèrit plusquamperfet,3a,plural,ells,havien cantat
cantar,1a,indicatiu,pretèrit plusquamperfet,3a,plural,elles,havien cantat
cantar,1a,indicatiu,pretèrit anterior,1a,singular,jo,haguí cantat
cantar,1a,indicatiu,pretèrit anterior,2a,singular,tu,hagueres cantat
cantar,1a,indicatiu,pretèrit anterior,3a,singular,ell,hagué cantat
cantar,1a,indicatiu,pretèrit anterior,3a,singular,ella,hagué cantat
cantar,1a,indicatiu,pretèrit anterior,1a,plural,nosaltres,haguérem cantat
cantar,1a,indicatiu,pretèrit anterior,2a,plural,vosaltres,haguéreu cantat
cantar,1a,indicatiu,pretèrit anterior,3a,plural,ells,hagueren cantat
cantar,1a,indicatiu,pretèrit anterior,3a,plural,elles,hagueren cantat
cantar,1a,indicatiu,futur perfet,1a,singular,jo,hauré cantat
cantar,1a,indicatiu,futur perfet,2a,singular,tu,hauràs cantat
cantar,1a,indicatiu,futur perfet,3a,singular,ell,haurà cantat
cantar,1a,indicatiu,futur perfet,3a,singular,ella,haurà cantat
cantar,1a,indicatiu,futur perfet,1a,plural,nosaltres,haurem cantat
cantar,1a,indicatiu,futur perfet,2a,plural,vosaltres,haureu cantat
cantar,1a,indicatiu,futur perfet,3a,plural,ells,hauran cantat
cantar,1a,indicatiu,futur perfet,3a,plural,elles,hauran cantat
cantar,1a,subjuntiu,pretèrit perfet,1a,singular,jo,haga cantat
cantar,1a,subjuntiu,pretèrit perfet,2a,singular,tu,hages cantat
cantar,1a,subjuntiu,pretèrit perfet,3a,singular,ell,haga cantat
cantar,1a,subjuntiu,pretèrit perfet,3a,singular,ella,haga cantat
cantar,1a,subjuntiu,pretèrit perfet,1a,plural,nosaltres,hàgim cantat
cantar,1a,subjuntiu,pretèrit perfet,1a,plural,nosaltres,haguem cantat
cantar,1a,subjuntiu,pretèrit perfet,2a,plural,vosaltres,hàgiu cantat
cantar,1a,subjuntiu,pretèrit perfet,2a,plural,vosaltres,hagueu cantat
cantar,1a,subjuntiu,pretèrit perfet,3a,plural,ells,hagen cantat
cantar,1a,subjuntiu,pretèrit perfet,3a,plural,elles,hagen cantat
cantar,1a,subjuntiu,pretèrit plusquamperfet,1a,singular,jo,hagués cantat
cantar,1a,subjuntiu,pretèrit plusquamperfet,2a,singular,tu,haguesses cantat
cantar,1a,subjuntiu,pretèrit plusquamperfet,2a,singular,tu,haguesses cantat
cantar,1a,subjuntiu,pretèrit plusquamperfet,3a,singular,ell,hagués cantat
cantar,1a,subjuntiu,pretèrit plusquamperfet,3a,singular,ella,hagués cantat
cantar,1a,subjuntiu,pretèrit plusquamperfet,1a,plural,nosaltres,haguàrem cantat
cantar,1a,subjuntiu,pretèrit plusquamperfet,1a,plural,nosaltres,haguàrem cantat
cantar,1a,subjuntiu,pretèrit plusquamperfet,2a,plural,vosaltres,haguàreu cantat
cantar,1a,subjuntiu,pretèrit plusquamperfet,2a,plural,vosaltres,haguàreu cantat
cantar,1a,subjuntiu,pretèrit plusquamperfet,3a,plural,ells,haguaren cantat
cantar,1a,subjuntiu,pretèrit plusquamperfet,3a,plural,ells,haguaren cantat
cantar,1a,subjuntiu,pretèrit plusquamperfet,3a,plural,elles,haguaren cantat
cantar,1a,subjuntiu,pretèrit plusquamperfet,3a,plural,elles,haguaren cantat
cantar,1a,indicatiu,condicional perfet,1a,singular,jo,hauria cantat
cantar,1a,indicatiu,condicional perfet,1a,singular,jo,haguera cantat
cantar,1a,indicatiu,condicional perfet,2a,singular,tu,hauries cantat
cantar,1a,indicatiu,condicional perfet,2a,singular,tu,hagueras cantat
cantar,1a,indicatiu,condicional perfet,3a,singular,ell,hauria cantat
cantar,1a,indicatiu,condicional perfet,3a,singular,ell,haguera cantat
cantar,1a,indicatiu,condicional perfet,3a,singular,ella,hauria cantat
cantar,1a,indicatiu,condicional perfet,3a,singular,ella,haguera cantat
cantar,1a,indicatiu,condicional perfet,1a,plural,nosaltres,hauríem cantat
cantar,1a,indicatiu,condicional perfet,1a,plural,nosaltres,haguérem cantat
cantar,1a,indicatiu,condicional perfet,2a,plural,vosaltres,hauríeu cantat
cantar,1a,indicatiu,condicional perfet,2a,plural,vosaltres,haguéreu cantat
cantar,1a,indicatiu,condicional perfet,3a,plural,ells,haurien cantat
cantar,1a,indicatiu,condicional perfet,3a,plural,ells,hagueren cantat
cantar,1a,indicatiu,condicional perfet,3a,plural,elles,haurien cantat
cantar,1a,indicatiu,condicional perfet,3a,plural,elles,hagueren cantat
